Title,Vendor,Source_Project,License_Category,Item_No,Quantity,Metric,Type,Ready_for_Procurement,License_Server_Planned,Priority_Date,Priority_Reason,Changes_Since_Feb_2025,Changes_from_Local_List,Action,Responsible,Due_Date,Comment,Comment_2
Acrobat Standard DC,Adobe,ASTRA,Paid License,1,12,user,subscription,,,,,,,,,,,
Acrobat Professional DC,Adobe,ASTRA,Paid License,2,4,user,subscription,,,,,,,,,,,
Illustrator CC,Adobe,ASTRA,Paid License,3,4,user,subscription,,,,,,,,,,,
Altair Token,Altair,ASTRA,Paid License,4,1 license +30 tokens,token floating,subscription,,,,,,,,,,,
Hyperworks,Altair,ASTRA,Paid License,5,1 license +30 tokens,token floating,subscription,,,,,,,,,,,
Python Enterprice,Anaconda,ASTRA,Paid License,6,16,user,tbd,,,,,,,,,,,
IQ-FMEA-L,APIS Infromationstechnologie,ASTRA,Paid License,7,4,floating,perpetual,,,,,,,,,,,
AutoCAD,Autodesk,ASTRA,Paid License,8,8,user,subscription,,,,,,,,,,,
Inventor Professional,Autodesk,ASTRA,Paid License,9,10,user,subscription,,,,,,,,,,,
Vault Professional,Autodesk,ASTRA,Paid License,10,2,user,subscription,,,,,,,,,,,
MindManager,Corel/Alludo,ASTRA,Paid License,11,5,user,subscription,,,,,,,,,,,
CATIA V5,Dassault Systèmes,ASTRA,Paid License,12,4,concurrent/floating,perpetual,,,,,,,,,,,
eDrawings Profesional,Dassault Systèmes,ASTRA,Paid License,13,36,user,subscription,,,,,,,,,,,
SolidWorks,Dassault Systèmes,ASTRA,Paid License,14,13,user,subscription,,,,,,,,,,,
Abaqus,Dassault Systèmes,ASTRA,Paid License,15,4,concurrent,subscription,,,,,,,,,,,
Q-DAS 14 Notebook,Hexagon,ASTRA,Paid License,16,5,tbd,tbd,,,,,,,,,,,
"IBM Doors (""IBM Engineering Requirements Management DOORS family Authorized User License + SW Subscription & Support 12 Months"")",IBM,ASTRA,Paid License,17,2,user,tbd,,,,,,,,,,,
IrfanView 4.x 64bit,Irfan Skiljan,ASTRA,Paid License,18,210,enterprise/corporate,tbd,,,,,,,,,,,
ScreenPresso Pro,Learnpulse,ASTRA,Paid License,19,435,enterprise/corporate,tbd,,,,,,,,,,,
MATLAB,MathWorks,ASTRA,Paid License,20,7,named/specific user,subscription,,,,,,,,,,,
Signal_Toolbox,MathWorks,ASTRA,Paid License,21,5,named/specific user,subscription,,,,,,,,,,,
SIMULINK,MathWorks,ASTRA,Paid License,22,5,named/specific user,subscription,,,,,,,,,,,
Simscape,MathWorks,ASTRA,Paid License,23,4,named/specific user,subscription,,,,,,,,,,,
Power_System_Blocks,MathWorks,ASTRA,Paid License,24,3,named/specific user,subscription,,,,,,,,,,,
Signal_Blocks,MathWorks,ASTRA,Paid License,25,3,named/specific user,subscription,,,,,,,,,,,
Stateflow,MathWorks,ASTRA,Paid License,26,3,named/specific user,subscription,,,,,,,,,,,
Control_Toolbox,MathWorks,ASTRA,Paid License,27,2,named/specific user,subscription,,,,,,,,,,,
Fixed_Point_Toolbox,MathWorks,ASTRA,Paid License,28,2,named/specific user,subscription,,,,,,,,,,,
RF_Blockset,MathWorks,ASTRA,Paid License,29,2,named/specific user,subscription,,,,,,,,,,,
RF_Toolbox,MathWorks,ASTRA,Paid License,30,2,named/specific user,subscription,,,,,,,,,,,
SimDriveline,MathWorks,ASTRA,Paid License,31,2,named/specific user,subscription,,,,,,,,,,,
System_Composer,MathWorks,ASTRA,Paid License,32,2,named/specific user,subscription,,,,,,,,,,,
AUTOSAR_Blockset,MathWorks,ASTRA,Paid License,33,1,named/specific user,subscription,,,,,,,,,,,
Cert_Kit_IEC,MathWorks,ASTRA,Paid License,34,1,named/specific user,subscription,,,,,,,,,,,
Identification_Toolbox,MathWorks,ASTRA,Paid License,35,1,named/specific user,subscription,,,,,,,,,,,
MATLAB_Coder,MathWorks,ASTRA,Paid License,36,1,named/specific user,subscription,,,,,,,,,,,
MATLAB_Report_Gen,MathWorks,ASTRA,Paid License,37,1,named/specific user,subscription,,,,,,,,,,,
Motor_Control_Blockset,MathWorks,ASTRA,Paid License,38,1,named/specific user,subscription,,,,,,,,,,,
Qual_Kit_DO,MathWorks,ASTRA,Paid License,39,1,named/specific user,subscription,,,,,,,,,,,
Real-Time_Workshop,MathWorks,ASTRA,Paid License,40,1,named/specific user,subscription,,,,,,,,,,,
RTW_Embedded_Coder,MathWorks,ASTRA,Paid License,41,1,named/specific user,subscription,,,,,,,,,,,
SimMechanics,MathWorks,ASTRA,Paid License,42,1,named/specific user,subscription,,,,,,,,,,,
Simscape_Battery,MathWorks,ASTRA,Paid License,43,1,named/specific user,subscription,,,,,,,,,,,
Simulink_Control_Design,MathWorks,ASTRA,Paid License,44,1,named/specific user,subscription,,,,,,,,,,,
Simulink_Coverage,MathWorks,ASTRA,Paid License,45,1,named/specific user,subscription,,,,,,,,,,,
Simulink_Design_Verifier,MathWorks,ASTRA,Paid License,46,1,named/specific user,subscription,,,,,,,,,,,
Simulink_HDL_Coder,MathWorks,ASTRA,Paid License,47,1,named/specific user,subscription,,,,,,,,,,,
Simulink_PLC_Coder,MathWorks,ASTRA,Paid License,48,1,named/specific user,subscription,,,,,,,,,,,
Simulink_Requirements,MathWorks,ASTRA,Paid License,49,1,named/specific user,subscription,,,,,,,,,,,
Simulink_Test,MathWorks,ASTRA,Paid License,50,1,named/specific user,subscription,,,,,,,,,,,
SL_Verification_Validation,MathWorks,ASTRA,Paid License,51,1,named/specific user,subscription,,,,,,,,,,,
Statistics_Toolbox,MathWorks,ASTRA,Paid License,52,1,named/specific user,subscription,,,,,,,,,,,
Vehicle_Network_Toolbox,MathWorks,ASTRA,Paid License,53,1,named/specific user,subscription,,,,,,,,,,,
XPC_Target,MathWorks,ASTRA,Paid License,54,1,named/specific user,subscription,,,,,,,,,,,
Stages Server License,Methodpark,ASTRA,Paid License,55,1,server,tbd,,,,,,,,,,,
Stages active users,Methodpark,ASTRA,Paid License,56,10,user,tbd,,,,,,,,,,,
Process Modeler (MODEL):,Methodpark,ASTRA,Paid License,57,1,concurrent/floating,tbd,,,,,,,,,,,
Process Contributor,Methodpark,ASTRA,Paid License,58,1,concurrent/floating,tbd,,,,,,,,,,,
SQL Server Standard,Microsoft,ASTRA,Paid License,59,5 servers x 4 cores,core,tbd,,,,,,,,,,"in clarification, final quantity",
Microsoft Defender Suite (Defender Suite Sub Per User),Microsoft,ASTRA,Paid License,60,500,user,subscription,,,,,,,,,,required for M365 migration  - 1 month before network cut,
"Standard IT-User, M365 E3",Microsoft,ASTRA,Paid License,61,500,user,subscription,,,,,,,,,,required for M365 migration - 1 month before network cut,
Microsoft VisioPro 64-Bit Edition for Office 365 (Visio Professional ALng  with SA),Microsoft,ASTRA,Paid License,62,61,user,perpetual,,,,,,,,,,,
"Visual Studio Professional w. GitHub Enterprise (Visual Studio Pro with GitHub ALng ; only available in EA/EAS 
alternatively Visual Studio Pro and GitHub Enterprise as stand-alone license)",Microsoft,ASTRA,Paid License,63,12,user,perpetual,,,,,,,,,,,
Microsoft SQL Server 2022 Express,Microsoft,ASTRA,Paid License,64,6,tbd,tbd,,,,,,,,,,"in clarification, final quantity",
Windows Server 2025 Standard (Win Server Standard Core ALng 2CoreLic) => 28 Packs,Microsoft,ASTRA,Paid License,65,56,core,tbd,,,,,,,,,,,
Exchange Server on Premise (Enterprise) Exchange Server Enterprise ALng LSA,Microsoft,ASTRA,Paid License,66,1,tbd,tbd,,,,,,,,,,,
Microsoft Copilot Studio User License,Microsoft,ASTRA,Paid License,67,2,user,subscription,,,,,,,,,,,
Microsoft 365 Audio Conferencing Pay-Per-Minute (Audio Conferencing Pay Per Min Sub Per User),Microsoft,ASTRA,Paid License,68,377,user,subscription,,,,,,,,,,,
Microsoft System Center Configuration Manager 2022 Client Management License OSE (unknown language) (Microsoft Endpoint Configuration Manager Client Management License per OSE),Microsoft,ASTRA,Paid License,69,600,user,tbd,,,,,,,,,,,
Microsoft Teams Phone Standard User (Teams Phone Standard Sub Per User),Microsoft,ASTRA,Paid License,70,70,user,subscription,,,,,,,,,,,
Microsoft Windows Professional,Microsoft,ASTRA,Paid License,71,92,device,perpetual,,,,,,,,,,,
Microsoft Exchange Online Plan 2 User (Exchange Online P2 Sub Per User),Microsoft,ASTRA,Paid License,72,37,user,subscription,,,,,,,,,,,
Microsoft Visio Plan 2 (Visio P2 Sub Per User),Microsoft,ASTRA,Paid License,73,23,user,subscription,,,,,,,,,,,
Microsoft Windows 11 Professional (unknown language) (Windows 11 Pro (Per Device)),Microsoft,ASTRA,Paid License,74,22,device,subscription,,,,,,,,,,,
Microsoft Project Plan 3 User (Planner & Project P3 Sub Per User),Microsoft,ASTRA,Paid License,75,18,user,subscription,,,,,,,,,,,
Microsoft Project Professional for Office 365 Client User Application (Project Professional Alng with SA),Microsoft,ASTRA,Paid License,76,20,user,perpetual,,,,,,,,,,,
Microsoft Visual Studio Professional (Visual Studio Professional Subscription),Microsoft,ASTRA,Paid License,77,15,user,subscription,,,,,,,,,,,
Windows Server 2025 Data Center Edition (Win Server Datacenter Core ALng 2CoreLic) => 192 packs,Microsoft,ASTRA,Paid License,78,384,core,tbd,,,,,,,,,,,
Microsoft Power BI Professional User (Power BI Pro Sub Per User),Microsoft,ASTRA,Paid License,79,4,user,subscription,,,,,,,,,,,
